,XGBoost,LightGBM,CatBoost,GrootCV,GrootCV.fastshap,Boruta_Shap,Boruta_rf,arfsfs,Pymrmr
1,MME,SPRY2,ADAMTS5,ADAMTS5,ADAMTS5,SDPR,OR10AD1,ARHGEF10L,CPA1
2,TMEM220,SCN4B,ABCA9,MMP11,MMP11,COL10A1,SNORD116-15,HIF3A,GPR132
3,PPP1R12B,ADAMTS5,PAQR4,FIGF,FIGF,ADAMTS5,SNORD116-10,RNF17,CD55
4,ADAMTS5,THRB,ITM2A,PPP1R12B,PPP1R12B,CD300LG,ATG9A,RNF10,LRRC3B
5,SDPR,MMP11,SPC25,CD300LG,CD300LG,ITM2A,PFN4,RNF11,NEK2
6,SPRY2,PPP1R12B,TNS1,TMEM220,TMEM220,SPRY2,SNORD116-13,RNF13,MYOC
7,SCN4B,MAB21L1,LYVE1,LMOD1,SPRY2,SCN4B,PFN2,GTF2IP1,COL10A1
8,FIGF,COL10A1,ACVR1C,SPRY2,SCN4B,NEK2,CALML4,REM1,GPAM
9,CD300LG,MME,SH3TC2,COL10A1,MME,LMOD1,VENTXP1,MTVR2,LOC572558
10,NKAPL,QKI,NNAT,MME,LMOD1,CAV1,SNORA38,RTN4RL2,MMP11
11,MMP11,TMEM220,DZIP3,SCN4B,PAMR1,TMEM220,TMEM194A,C16orf13,GLRA4
12,ARHGAP20,LMOD1,HOXD3,PAMR1,SDPR,LYVE1,SPANXN3,C16orf11,CA4
13,MAMDC2,CLEC3B,SPAG9,SDPR,COL10A1,MMP11,IFT74,FGFR1OP2,PKMYT1
14,LMOD1,BCL2L2,SCN2A,TSLP,HSD17B6,FIGF,ARPP21,TSKS,MESTIT1
15,COL10A1,FOXC1,AIMP2,HSD17B6,TSLP,KLHL29,SNORD91A,ATRX,HSD17B13
16,MFAP2,TSLP,CHML,MAMDC2,MAMDC2,CKS2,RBMY1E,PMM2,FIGF
17,ALDH18A1,HTR2A,CCDC60,SYNM,SYNM,PALMD,OR8D2,LOC100272146,KIF4A
18,PAMR1,C3orf64,PLAA,ARHGAP20,ARHGAP20,KIAA0101,OR8D1,ASS1,LYVE1
19,SEMA3G,PPAP2B,OR8B12,LYVE1,TNXB,MAMDC2,MYL10,NCBP1,TRPM3
20,INMT,GRIA4,COX8A,TNXB,LYVE1,POC1A,NT5DC1,ZNF709,GABRD
21,GABARAPL1,TP63,VARS2,C1QTNF9,SCARA5,PYCR1,OR4B1,ZNF708,KIAA0101
22,TGFBR2,HMGCR,ERN2,FXYD1,CLEC5A,BTNL9,OR8D4,RBM14,AQP7P3
23,COL11A1,SCN2B,PCBD1,SCARA5,BGN,TPM3,SPRR3,NCBP2,GLYAT
24,ELMO2,JPH2,RPS24,BGN,C1QTNF9B,CDCA8,SNORD116-14,DISC1,PAFAH1B3
25,FAM162B,MYH11,TP53AIP1,CXCL12,FXYD1,PAMR1,LOC347376,CAMK1,ADH4
26,ME3,ADAMTS3,OR6N2,CLEC5A,CEP68,ADRB2,NBEA,RPL37,HSD17B6
27,RRAD,CYBRD1,RPS26,CEP68,SMYD1,ASF1B,RAP2A,SPR,SLC7A14
28,HPN,CHST3,LOC440896,LOC399959,SLCO1A2,NUSAP1,TPM4,ZNF700,UHRF1
29,MATN3,DMD,ERN1,BMP8A,LOC399959,C3orf64,CELA3B,ZNF707,LOC729467
30,GABRD,ROPN1,KBTBD11,LNP1,SLC7A14,MME,CELA3A,CAMK4,PPP1R12B
31,TRIM34,LOC399959,RPS27,SLC7A14,LRRC2,CAV2,OR1A2,ZNF704,IQGAP3
32,C3orf70,MAMDC2,ARHGEF10L,C1QTNF9B,C3orf64,C1QTNF9,FBXW4,LOC339240,CCDC64
33,PEX11B,GREM2,RIMBP2,SLCO1A2,GIPC2,NUF2,C22orf30,GOLGA6B,MYOM1
34,SCARA5,KLF6,OPRK1,ANXA1,CXCL12,SCARA5,C22orf33,RNF115,ANGPTL7
35,GPRASP1,RYR3,UCHL3,MMP13,MMP13,AQP7P3,RPS5,RNF112,ADRA1A
36,PYCR1,ASPH,UCHL1,GIPC2,ANXA1,UBE2T,EPSTI1,ZC3H14,PPAPDC1A
37,PHKG1,TMPRSS11F,SNORA36A,LRRTM2,HIF3A,EPR1,LOC678655,SPN,CAV1
38,SCHIP1,LOXL4,CHMP1A,CAV1,BMP8A,CEP68,CSF1R,HMGCLL1,ANGPT4
39,F2R,MYLK,CHMP1B,LRRC2,CX3CL1,FOXM1,LIMS3-LOC440895,NACAP1,WISP1
40,MMP13,SMYD1,UCHL5,ATP1A2,HBA2,NR3C2,COX16,LRRTM1,SPC25
41,ZNF502,HAP1,OR1E1,SLC17A7,PPAP2B,HEPN1,BET1,GRIN1,NKAPL
42,KLHL12,SPATA18,OR1E2,C3orf64,LNP1,SPAG5,LOC339568,RBMY1A3P,FAM13A
